Description,Value,Date,ID
Efectivo y equivalentes al efectivo,78413.667,2017-03-31,ENTEL
Otros activos financieros corrientes,4994.86,2017-03-31,ENTEL
Otros activos no financieros corrientes,33415.114,2017-03-31,ENTEL
Deudores comerciales y otras cuentas por cobrar corrientes,308272.71,2017-03-31,ENTEL
"Cuentas por cobrar a entidades relacionadas, corrientes",597.354,2017-03-31,ENTEL
Inventarios corrientes,108875.575,2017-03-31,ENTEL
Activos biológicos corrientes,0.0,2017-03-31,ENTEL
"Activos por impuestos corrientes, corrientes",226842.345,2017-03-31,ENTEL
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,761411.625,2017-03-31,ENTEL
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,0.0,2017-03-31,ENTEL
Activos corrientes totales,761411.625,2017-03-31,ENTEL
Otros activos financieros no corrientes,87154.2,2017-03-31,ENTEL
Otros activos no financieros no corrientes,4783.37,2017-03-31,ENTEL
Cuentas por cobrar no corrientes,12844.061,2017-03-31,ENTEL
"Cuentas por cobrar a entidades relacionadas, no corrientes",0.0,2017-03-31,ENTEL
"Inventarios, no corrientes",0.0,2017-03-31,ENTEL
Inversiones contabilizadas utilizando el método de la participación,0.0,2017-03-31,ENTEL
Activos intangibles distintos de la plusvalía,327690.5,2017-03-31,ENTEL
Plusvalía,47207.178,2017-03-31,ENTEL
"Propiedades, planta y equipo",1845811.636,2017-03-31,ENTEL
Activos biológicos no corrientes,0.0,2017-03-31,ENTEL
Propiedad de inversión,0.0,2017-03-31,ENTEL
"Activos por impuestos corrientes, no corrientes",0.0,2017-03-31,ENTEL
Activos por impuestos diferidos,393701.491,2017-03-31,ENTEL
Total de activos no corrientes,2719192.436,2017-03-31,ENTEL
Total de activos,3480604.061,2017-03-31,ENTEL
Otros pasivos financieros corrientes,29050.173,2017-03-31,ENTEL
Cuentas por pagar comerciales y otras cuentas por pagar,485300.586,2017-03-31,ENTEL
"Cuentas por pagar a entidades relacionadas, corrientes",0.0,2017-03-31,ENTEL
Otras provisiones a corto plazo,5166.138,2017-03-31,ENTEL
"Pasivos por impuestos corrientes, corrientes",4953.56,2017-03-31,ENTEL
Provisiones corrientes por beneficios a los empleados,0.0,2017-03-31,ENTEL
Otros pasivos no financieros corrientes,32696.081,2017-03-31,ENTEL
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,557166.538,2017-03-31,ENTEL
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,0.0,2017-03-31,ENTEL
Pasivos corrientes totales,557166.538,2017-03-31,ENTEL
Otros pasivos financieros no corrientes,1568330.906,2017-03-31,ENTEL
Cuentas por pagar no corrientes,0.0,2017-03-31,ENTEL
"Cuentas por pagar a entidades relacionadas, no corrientes",0.0,2017-03-31,ENTEL
Otras provisiones a largo plazo,35562.446,2017-03-31,ENTEL
Pasivo por impuestos diferidos,17701.64,2017-03-31,ENTEL
"Pasivos por impuestos corrientes, no corrientes",0.0,2017-03-31,ENTEL
Provisiones no corrientes por beneficios a los empleados,10546.201,2017-03-31,ENTEL
Otros pasivos no financieros no corrientes,5018.651,2017-03-31,ENTEL
Total de pasivos no corrientes,1637159.844,2017-03-31,ENTEL
Total de pasivos,2194326.382,2017-03-31,ENTEL
Capital emitido,874846.615,2017-03-31,ENTEL
Ganancias (pérdidas) acumuladas,464842.592,2017-03-31,ENTEL
Prima de emisión,0.0,2017-03-31,ENTEL
Acciones propias en cartera,0.0,2017-03-31,ENTEL
Otras participaciones en el patrimonio,0.0,2017-03-31,ENTEL
Otras reservas,-53411.528,2017-03-31,ENTEL
Patrimonio atribuible a los propietarios de la controladora,1286277.679,2017-03-31,ENTEL
Participaciones no controladoras,0.0,2017-03-31,ENTEL
Patrimonio total,1286277.679,2017-03-31,ENTEL
Total de patrimonio y pasivos,3480604.061,2017-03-31,ENTEL
Efectivo y equivalentes al efectivo,108111.629,2017-06-30,ENTEL
Otros activos financieros corrientes,4396.278,2017-06-30,ENTEL
Otros activos no financieros corrientes,35118.017,2017-06-30,ENTEL
Deudores comerciales y otras cuentas por cobrar corrientes,321258.175,2017-06-30,ENTEL
"Cuentas por cobrar a entidades relacionadas, corrientes",716.364,2017-06-30,ENTEL
Inventarios corrientes,108898.217,2017-06-30,ENTEL
Activos biológicos corrientes,0.0,2017-06-30,ENTEL
"Activos por impuestos corrientes, corrientes",130687.944,2017-06-30,ENTEL
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,709186.624,2017-06-30,ENTEL
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,0.0,2017-06-30,ENTEL
Activos corrientes totales,709186.624,2017-06-30,ENTEL
Otros activos financieros no corrientes,105685.57,2017-06-30,ENTEL
Otros activos no financieros no corrientes,5321.721,2017-06-30,ENTEL
Cuentas por cobrar no corrientes,6997.252,2017-06-30,ENTEL
"Cuentas por cobrar a entidades relacionadas, no corrientes",0.0,2017-06-30,ENTEL
"Inventarios, no corrientes",0.0,2017-06-30,ENTEL
Inversiones contabilizadas utilizando el método de la participación,0.0,2017-06-30,ENTEL
Activos intangibles distintos de la plusvalía,325378.264,2017-06-30,ENTEL
Plusvalía,47203.274,2017-06-30,ENTEL
"Propiedades, planta y equipo",1849052.493,2017-06-30,ENTEL
Activos biológicos no corrientes,0.0,2017-06-30,ENTEL
Propiedad de inversión,0.0,2017-06-30,ENTEL
"Activos por impuestos corrientes, no corrientes",103603.013,2017-06-30,ENTEL
Activos por impuestos diferidos,411801.724,2017-06-30,ENTEL
Total de activos no corrientes,2855043.311,2017-06-30,ENTEL
Total de activos,3564229.935,2017-06-30,ENTEL
Otros pasivos financieros corrientes,26303.631,2017-06-30,ENTEL
Cuentas por pagar comerciales y otras cuentas por pagar,465226.111,2017-06-30,ENTEL
"Cuentas por pagar a entidades relacionadas, corrientes",0.0,2017-06-30,ENTEL
Otras provisiones a corto plazo,5165.643,2017-06-30,ENTEL
"Pasivos por impuestos corrientes, corrientes",821.041,2017-06-30,ENTEL
Provisiones corrientes por beneficios a los empleados,0.0,2017-06-30,ENTEL
Otros pasivos no financieros corrientes,31081.012,2017-06-30,ENTEL
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,528597.438,2017-06-30,ENTEL
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,0.0,2017-06-30,ENTEL
Pasivos corrientes totales,528597.438,2017-06-30,ENTEL
Otros pasivos financieros no corrientes,1666611.597,2017-06-30,ENTEL
Cuentas por pagar no corrientes,0.0,2017-06-30,ENTEL
"Cuentas por pagar a entidades relacionadas, no corrientes",0.0,2017-06-30,ENTEL
Otras provisiones a largo plazo,36394.48,2017-06-30,ENTEL
Pasivo por impuestos diferidos,17683.779,2017-06-30,ENTEL
"Pasivos por impuestos corrientes, no corrientes",0.0,2017-06-30,ENTEL
Provisiones no corrientes por beneficios a los empleados,9998.108,2017-06-30,ENTEL
Otros pasivos no financieros no corrientes,7234.688,2017-06-30,ENTEL
Total de pasivos no corrientes,1737922.652,2017-06-30,ENTEL
Total de pasivos,2266520.09,2017-06-30,ENTEL
Capital emitido,874846.615,2017-06-30,ENTEL
Ganancias (pérdidas) acumuladas,462179.569,2017-06-30,ENTEL
Prima de emisión,0.0,2017-06-30,ENTEL
Acciones propias en cartera,0.0,2017-06-30,ENTEL
Otras participaciones en el patrimonio,0.0,2017-06-30,ENTEL
Otras reservas,-39316.339,2017-06-30,ENTEL
Patrimonio atribuible a los propietarios de la controladora,1297709.845,2017-06-30,ENTEL
Participaciones no controladoras,0.0,2017-06-30,ENTEL
Patrimonio total,1297709.845,2017-06-30,ENTEL
Total de patrimonio y pasivos,3564229.935,2017-06-30,ENTEL
Efectivo y equivalentes al efectivo,137463.202,2017-09-30,ENTEL
Otros activos financieros corrientes,3417.881,2017-09-30,ENTEL
Otros activos no financieros corrientes,41702.884,2017-09-30,ENTEL
Deudores comerciales y otras cuentas por cobrar corrientes,322523.387,2017-09-30,ENTEL
"Cuentas por cobrar a entidades relacionadas, corrientes",346.607,2017-09-30,ENTEL
